Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Feature51,Feature52,Feature53,Feature54,Feature55,Feature56,Feature57,Feature58,Feature59,Feature60,Feature61,Feature62,Feature63,Feature64,Feature65,Feature66,yLabel,Y
0.060955,0.595187431,0.09365,0.07099,0.64507926,-1.2587,1.3821,2.6408,-0.090893901,-0.43489589,0.059518743,0.018788,0.721385481,-0.0058,0.00587,0.91595028,-1.3892,1.6418,3.031,0.079685504,-1.046500798,0.072138548,0.018788,0.721385481,-0.0058,0.00587,0.91595028,-1.3892,1.6418,3.031,0.079685504,-1.046500798,0.072138548,0.082336518,0.086442263,0.060185293,0.069234069,0.048518802,0.00197876,0.563350406,0.561371645,3.502389813,16.50495093,0.008644226,0.078851654,0.120622367,0.05753853,0.059049939,0.0326607,0.005243841,0.867631091,0.86238725,5.599170373,33.63267719,0.012062237,0.148495082,0.099918175,0.126340644,0.134895992,0.080884101,0.010465222,0.481631064,0.471165842,1.312932013,1.837047666,0.009991818,normal,1
0.011422,0.671591469,0.06225,0.0357225,0.70134393,-1.6194,1.2184,2.8378,-0.306742944,-0.67292691,0.067159147,-0.017314,0.83347299,0.0157,-0.0109825,1.07747955,-1.5625,1.7951,3.3576,-0.059116631,-1.052680154,0.083347299,-0.017314,0.83347299,0.0157,-0.0109825,1.07747955,-1.5625,1.7951,3.3576,-0.059116631,-1.052680154,0.083347299,0.094261087,0.095245859,0.06898823,0.074194562,0.048011426,0.002239388,0.491670138,0.48943075,2.332930227,5.820979512,0.009524586,0.099913662,0.133100058,0.07119248,0.076436098,0.05520014,0.007433929,0.905514908,0.89808098,4.51489433,24.07661506,0.013310006,0.169422142,0.103692359,0.145945184,0.157685551,0.09951277,0.039445332,0.55780036,0.518355028,1.365485074,2.469260618,0.010369236,normal,1
-0.074776,0.637275364,-0.06155,-0.0614825,0.66338937,-1.9254,1.4667,3.3921,-0.209609891,0.059656072,0.063727536,-0.060306,0.792265524,-0.1105,-0.0609475,0.88770675,-2.0042,1.6412,3.6454,-0.024005161,-0.806797305,0.079226552,-0.060306,0.792265524,-0.1105,-0.0609475,0.88770675,-2.0042,1.6412,3.6454,-0.024005161,-0.806797305,0.079226552,0.091571722,0.08944625,0.064745092,0.074984422,0.054605047,0.01014344,0.522726095,0.512582655,2.567721324,8.726594078,0.008944625,0.094752132,0.127222935,0.077336163,0.073919356,0.05507273,0.0068869,0.889524512,0.882637612,4.985845932,27.81164065,0.012722294,0.164416197,0.09565663,0.152888994,0.155790165,0.090284984,0.020514076,0.464888662,0.444374585,0.878326825,0.479907265,0.009565663,normal,1
0.01506,0.595640489,0.0891,0.02862875,0.59289174,-1.7805,1.2034,2.9839,-0.319576928,-0.045382868,0.059564049,0.00724,0.779301054,-0.0796,0.0095525,0.9518292,-1.6629,1.5577,3.2206,0.035554822,-1.055282592,0.077930105,0.00724,0.779301054,-0.0796,0.0095525,0.9518292,-1.6629,1.5577,3.2206,0.035554822,-1.055282592,0.077930105,0.085869577,0.08217422,0.065307687,0.070346165,0.03533786,0.010785096,0.532743721,0.521958625,3.423473061,15.04150432,0.008217422,0.087840613,0.128454703,0.056612343,0.065873968,0.037038281,0.004937965,0.897711925,0.89277396,5.075695149,28.78067973,0.01284547,0.153474002,0.099786687,0.122159559,0.141674979,0.085561945,0.015620871,0.453411856,0.437790985,1.0383914,0.57206521,0.009978669,normal,1
0.019526,0.635198419,0.0304,0.019245,0.68006862,-1.4719,1.4837,2.9556,0.030992637,-0.578419862,0.063519842,0.029987,0.735085623,0.03,0.02782625,0.90164319,-1.3486,1.4369,2.7855,0.079613301,-1.061077144,0.073508562,0.029987,0.735085623,0.03,0.02782625,0.90164319,-1.3486,1.4369,2.7855,0.079613301,-1.061077144,0.073508562,0.089032053,0.090264676,0.067409686,0.070504149,0.043097935,0.009563814,0.508837295,0.499273481,2.588941107,7.809457335,0.009026468,0.084950627,0.119836818,0.060566216,0.067059375,0.048323065,0.003097354,0.844728187,0.841630834,5.079572044,29.3877324,0.011983682,0.152935675,0.092898189,0.148106657,0.143676571,0.103732156,0.023508,0.449606228,0.426098228,0.940628714,0.851630949,0.009289819,normal,1
0.029856,0.60277001,0.02775,0.03572875,0.54722766,-1.7119,1.4473,3.1592,-0.103891314,-0.014464462,0.060277001,0.028877,0.824374288,0.02015,0.028875,0.94834509,-1.6293,1.6362,3.2655,-0.016023862,-1.0049307,0.082437429,0.028877,0.824374288,0.02015,0.028875,0.94834509,-1.6293,1.6362,3.2655,-0.016023862,-1.0049307,0.082437429,0.085983515,0.084270039,0.061274857,0.070038203,0.051056441,0.005669209,0.459442098,0.453772889,2.221951643,5.971707297,0.008427004,0.096803495,0.133236025,0.062891454,0.072044046,0.041860703,0.009727329,0.919834571,0.910107243,4.785946133,26.28605032,0.013323603,0.178029888,0.092092007,0.157189732,0.169837324,0.076106607,0.030728,0.453780631,0.423052631,1.03030706,1.244620726,0.009209201,normal,1
0.033435,0.57407151,0.0305,0.04028875,0.61068294,-1.4241,1.2458,2.6699,-0.115838763,-0.438825225,0.057407151,0.020624,0.790446863,0.04165,0.02644875,0.85264326,-1.4868,1.7946,3.2814,-0.038928458,-0.912049898,0.079044686,0.020624,0.790446863,0.04165,0.02644875,0.85264326,-1.4868,1.7946,3.2814,-0.038928458,-0.912049898,0.079044686,0.079327143,0.082892294,0.059148762,0.064128838,0.042776498,0.003609509,0.503408233,0.499798724,2.979803577,11.50519022,0.008289229,0.08646292,0.132129048,0.061399463,0.061935932,0.043762713,0.008204,0.905302477,0.897098477,4.942016428,26.98286942,0.013212905,0.160119475,0.096588017,0.128815549,0.151667639,0.092069515,0.01102409,0.410734624,0.399710534,0.764356837,0.047828347,0.009658802,normal,1
-0.011737,0.577826337,0.03615,-0.00534375,0.6664287,-1.1447,1.2143,2.359,-0.093071631,-1.004321114,0.057782634,-0.010123,0.745062583,-0.0132,-0.03787625,0.81179763,-1.5545,1.879,3.4335,0.282252492,-0.533815204,0.074506258,-0.010123,0.745062583,-0.0132,-0.03787625,0.81179763,-1.5545,1.879,3.4335,0.282252492,-0.533815204,0.074506258,0.080005873,0.083037951,0.051814464,0.0638244,0.034504802,0.007971342,0.469402414,0.461431071,2.667599141,8.486760256,0.008303795,0.0868585,0.120781892,0.058207468,0.066072158,0.043958428,0.013064056,0.848652291,0.835588235,5.030591615,28.7267557,0.012078189,0.184710448,0.100863429,0.177021234,0.177773742,0.109278682,0.037840467,0.47103691,0.433196443,0.556665508,-0.198453647,0.010086343,normal,1
0.056766,0.556268825,0.03865,0.053225,0.50571486,-1.3442,1.5425,2.8867,0.035473605,0.016161551,0.055626883,0.035124,0.763469723,0.02675,0.0262825,0.89208042,-1.5913,1.9001,3.4914,0.071550035,-0.85308174,0.076346972,0.035124,0.763469723,0.02675,0.0262825,0.89208042,-1.5913,1.9001,3.4914,0.071550035,-0.85308174,0.076346972,0.084632982,0.072612016,0.070758657,0.074191032,0.034097068,0.006020086,0.4883711,0.482351014,3.504184362,16.46386381,0.007261202,0.091055547,0.122435394,0.065347635,0.071964189,0.039966328,0.010891843,0.880574538,0.869682695,5.350770627,31.62831235,0.012243539,0.165524292,0.100571922,0.120975259,0.149361836,0.07450449,0.048492914,0.477457554,0.42896464,1.330112938,1.196295923,0.010057192,normal,1
0.002759,0.586679486,-0.0037,0.01154875,0.55723521,-1.6234,1.739,3.3624,-0.058008608,0.23645954,0.058667949,-0.015166,0.794266056,-0.0603,-0.0159075,0.89526801,-1.5776,1.8729,3.4505,0.087823971,-0.802151897,0.079426606,-0.015166,0.794266056,-0.0603,-0.0159075,0.89526801,-1.5776,1.8729,3.4505,0.087823971,-0.802151897,0.079426606,0.079081535,0.086318947,0.047424226,0.062159779,0.03361179,0.004097399,0.505735202,0.501637803,2.977415017,10.63411597,0.008631895,0.097296467,0.125225442,0.075266088,0.074701821,0.039398391,0.015107667,0.88625256,0.871144893,5.084968826,28.72385516,0.012522544,0.138894727,0.089047995,0.117849797,0.126394197,0.069809202,0.013022726,0.406001411,0.392978685,1.310856757,1.557967179,0.008904799,normal,1
